id,code,name,category_code,price,image,tax,cost,tax_method,quantity,barcode_symbology,type,details,alert_quantity
458,425115200220,ML220,7,85,,0,1,1,0,ean13,standard,1 VESTIDO MANGA LONGA 7,2
459,415115200221,ML221,8,85,,0,1,1,0,ean13,standard,1 VESTIDO MANGA LONGA 8,2
460,290115200222,ML222,8,50,,0,1,1,0,ean13,standard,1 BLUSA MANGA LONGA 8,2
461,430125200224,ML224,8,100,,0,1,1,0,ean13,standard,1 VESTIDO MANGA LONGA 8,2
462,420125200228,ML228,8,90,,0,1,1,41,ean13,standard,1 VESTIDO LISO 8,2
463,435125200228,ML228,8,90,,0,1,1,41,ean13,standard,1 VESTIDO LISO 8,2
464,298055200247,ML247,7,95,,0,1,1,35,ean13,standard,2 CONJUTO BLUSA E CALCA LISA  7,2
465,382065200248,ML248,7,70,,0,1,1,15,ean13,standard,2 VESTIDO ESTAMPADO ALCINHA 7,2
466,6512500025,ML25,8,35,,0,1,1,3,ean13,standard,1 COLETE 8,2
467,380065200251,ML251,7,75,,0,1,1,1,ean13,standard,2 VESTIDO ESTAMPADO MANGA CURTA 7,2
468,408065200254,ML254,7,70,,0,1,1,35,ean13,standard,2 MACACAO ESTAMPADO ALCA FINA 7,2
469,333065200257,ML257,7,55,,0,1,1,18,ean13,standard,2 VESTIDO LISO FRANZIDO NA FRENTE ALCINHA 7,2
470,350065200258,ML258,7,70,,0,1,1,4,ean13,standard,2 MACACAO LISO ALCA E LACO LATERAL 7,2
471,250065200259,ML259,7,90,,0,1,1,40,ean13,standard,2 CONJUNTO ESTAMPADO 7,2
472,270065200259,ML259,7,90,,0,1,1,40,ean13,standard,2 CONJUNTO ESTAMPADO 7,2
473,228065200260,ML260,7,75,,0,1,1,48,ean13,standard,2 CONJUNTO ESTAMPADO 7,2
474,451075200262,ML262,8,85,,0,1,1,3,ean13,standard,2 VESTIDO ESTAMPADO 8,2
475,400075200264,ML264,8,85,,0,1,1,61,ean13,standard,2 VESTIDO LISO MANGA CURTA 8,2
476,650125200028,ML28,8,35,,0,1,1,11,ean13,standard,1 COLETE 8,2
477,650125200030,ML30,8,35,,0,1,1,0,ean13,standard,1 COLETE FEM 8,2
478,380035200035,ML35,8,75,,0,1,1,13,ean13,standard,2 MACACAO LISO 8,2
479,320035200045,ML45,8,60,,0,1,1,32,ean13,standard,1 VESTIDO ROSe SM GOLA 8,2
480,380045200046,ML46,8,60,,0,1,1,54,ean13,standard,2 MACACAO ESTAMPADO 8,2
481,310045200047,ML47,8,50,,0,1,1,27,ean13,standard,1 VESTIDO ESTAMPADO SM GOLA 8,2
482,4400045200048,ML48,8,85,,0,1,1,52,ean13,standard,2 MACACAO LISO 8,2
483,340045200049,ML49,8,50,,0,1,1,79,ean13,standard,2 VESTIDO ESTAMPADO 8,2
484,380045200050,ML50,8,75,,0,1,1,9,ean13,standard,MACACAO LONGO ROSe SM,2
485,420045200051,ML51,8,75,,0,1,1,28,ean13,standard,2 MACACAO ESTAMPADO 8,2
486,400045200055,ML55,8,75,,0,1,1,81,ean13,standard,2 MACACAO ESTAMPADO 8,2
487,350045200056,ML56,8,55,,0,1,1,63,ean13,standard,2 MACAQUINHO ESTAMPADO 8,2
488,360045200058,ML58,8,65,,0,1,1,25,ean13,standard,2 MACAQUINHO ESTAMPADO 8,2
489,360045200059,ML59,8,65,,0,1,1,2,ean13,standard,MACAQUINHO ESTAMPADO,2
490,330045200060,ML60,8,60,,0,1,1,68,ean13,standard,1 VESTIDO CURTO BABADO SM 8,2
491,420045200062,ML62,8,55,,0,1,1,0,ean13,standard,2 MACACAO 8,2
492,430045200064,ML64,8,55,,0,1,1,0,ean13,standard,2 MACACAO 8,2
493,360045200073,ML73,8,60,,0,1,1,19,ean13,standard,2 MACACAO 8,2
494,420055200086,ML86,8,45,,0,1,1,16,ean13,standard,2 MACACAO ESTAMPA 8,2
495,400055200090,ML90,8,65,,0,1,1,0,ean13,standard,2 MACACAO 8,2
496,470055200092,ML92,8,55,,0,1,1,0,ean13,standard,2 MACACAO 8,2
497,110201921302,MW302,8,20,,0,1,1,2,ean13,standard,MANGA LONGA GOLA,2
498,110201921303,MW303,7,25,,0,1,1,0,ean13,standard,1 BLUSA 7,2
499,112345010179,P10,8,10,,0,1,1,32,ean13,standard,PROMO 30,2
500,300107100001,PH01,8,55,,0,1,1,41,ean13,standard,1 BLUSA 8,2
501,300107100002,PH02,8,50,,0,1,1,2,ean13,standard,1 BLUSA 8,2
502,240117100003,PH03,8,45,,0,1,1,0,ean13,standard,1 BLUSA ESTAMPA 8,2
503,280117100004,PH04,8,50,,0,1,1,0,ean13,standard,1 BLUSA MANGA LONGA 8,2
504,290117100005,PH05,8,55,,0,1,1,0,ean13,standard,1 BLUSA LISA 8,2
505,230117100006,PH06,7,50,,0,1,1,0,ean13,standard,1 BLUSA LISA 7,2
506,290117100007,PH07,8,50,,0,1,1,0,ean13,standard,1 BLUSA LISA 8,2
507,280117100008,PH08,7,55,,0,1,1,0,ean13,standard,1 BLUSA LISA 7,2
508,180086100010,PL10,8,25,,0,1,1,0,ean13,standard,2 BLUSA ESTAMPA 8,2
509,255086100016,PL16,8,40,,0,1,1,8,ean13,standard,2 SAIA 8,2
510,260106100017,PL17,8,50,,0,1,1,20,ean13,standard,1 BLUSA LISA 8,2
511,225096100019,PL19,8,45,,0,1,1,0,ean13,standard,1 BLUSA ESTAMPA 8,2
512,190106100021,PL21,8,45,,0,1,1,68,ean13,standard,1 BLUSA ESTAMPA 8,2
513,255096100022,PL22,8,50,,0,1,1,0,ean13,standard,1 BLUSA ESTAMPA 8,2
514,400126100026,PL26,7,70,,0,1,1,33,ean13,standard,1 CALCA 7,2
515,430126100027,PL27,8,70,,0,1,1,46,ean13,standard,1 CALCA 8,2
516,280106100031,PL31,8,50,,0,1,1,0,ean13,standard,1 BLUSA ESTAMPA 8,2
517,28085100003,QJ03,8,30,,0,1,1,2,ean13,standard,1 CALCA 8,2
518,315125100003,QJ03,8,30,,0,1,1,2,ean13,standard,1 CALCA 8,2
519,270085100109,QJ109,8,40,,0,1,1,9,ean13,standard,2 SAIA 8,2
520,275095100110,QJ110,8,35,,0,1,1,20,ean13,standard,2 SAIA 8,2
521,295105100111,QJ111,7,65,,0,1,1,28,ean13,standard,1 CALCA 7,2
522,325105100112,QJ112,8,65,,0,1,1,8,ean13,standard,1 CALCA 8,2
523,380105100113,QJ113,7,50,,0,1,1,20,ean13,standard,1 CALCA 7,2
524,380105100114,QJ114,7,50,,0,1,1,7,ean13,standard,1 CALCA 7,2
525,330105100115,QJ115,8,65,,0,1,1,31,ean13,standard,1 CALCA 8,2
526,300115100116,QJ116,7,60,,0,1,1,43,ean13,standard,2 SAIA 7,2
527,320115100118,QJ118,7,65,,0,1,1,69,ean13,standard,1 CALCA 7,2
528,310115100119,QJ119,7,65,,0,1,1,21,ean13,standard,1 CALCA 7,2
529,260115100121,QJ121,7,50,,0,1,1,0,ean13,standard,1 BLUSA LISA 7,2
