Code,Name,Purchase Price,Tax,Retail Price,Category Code
ZN199,2 VESTIDO BORDADO 8,50,0,1,50
ZN198,2 VESTIDO GUIPIR 8,50,0,1,50
ZN197,2 VESTIDO GUIPIR 8,50,0,1,50
ZN196,2 VESTIDO GUIPIR 8,50,0,1,50
ZN195,2 VESTIDO GUIPIR 8,50,0,1,50
ZN193,2 VESTIDO GUIPIR 8,50,0,1,50
ZN192,2 VESTIDO GUIPIR 8,50,0,1,50
ZN191,2 VESTIDO GUIPIR 8,50,0,1,50
ZN190,2 VESTIDO GUIPIR 8,50,0,1,50
ZN189,2 VESTIDO GUIPIR 8,50,0,1,50
ZN188,2 VESTIDO GUIPIR 8,50,0,1,50
ZN186,2 VESTIDO GUIPIR 8,50,0,1,50
ZN183,2 VESTIDO GUIPIR 8,50,0,1,50
ZN180,2 VESTIDO 8,50,0,1,50
ZN179,2 VESTIDO BORDADO 8,50,0,1,50
ZN172,2 VESTIDO GUIPIR 8,50,0,1,50
ZN166,2 VESTIDO RENDA 8,50,0,1,50
ZN165,2 VESTIDO RENDA 8,50,0,1,50
ZN161,2 VESTIDO GUIPIR 8,50,0,1,50
ZN160,2 VESTIDO GUIPIR 8,50,0,1,50
ZN158,2 VESTIDO GUIPIR 8,50,0,1,50
ZN157,2 VESTIDO GUIPIR 8,50,0,1,50
ZN137,2 VESTIDO GUIPIR 8,50,0,1,50
ZN136,2 VESTIDO GUIPIR 8,50,0,1,50
ZN131,2 VESTIDO GUIPIR 8,50,0,1,50
ZN13,2 VESTIDO GUIPIR 8,50,0,1,50
ZN127,2 VESTIDO GUIPIR 8,50,0,1,50
ZN121,2 VESTIDO GUIPIR 8,50,0,1,50
ZN120,2 VESTIDO GUIPIR 8,50,0,1,50
ZN117,2 VESTIDO GUIPIR 8,50,0,1,50
ZN116,2 VESTIDO GUIPIR 8,50,0,1,50
ZN115,2 VESTIDO GUIPIR 8,50,0,1,50
ZN113,2 VESTIDO GUIPIR 8,50,0,1,50
ZN111,2 VESTIDO GUIPIR 8,50,0,1,50
ZN109,2 VESTIDO GUIPIR 8,50,0,1,50
ZN108,2 VESTIDO GUIPIR 8,50,0,1,50
ZN107,2 VESTIDO GUIPIR 8,50,0,1,50
ZN105,2 VESTIDO GUIPIR 8,50,0,1,50
ZN103,2 VESTIDO GUIPIR 8,50,0,1,50
ZN102,2 VESTIDO GUIPIR 8,50,0,1,50
ZN101,2 VESTIDO GUIPIR 8,50,0,1,50
ZN05,2 VESTIDO GUIPIR 8,50,0,1,50
ZN03,2 VESTIDO GUIPIR 8,50,0,1,50
ZN01,2 VESTIDO GUIPIR 8,50,0,1,50
YL92,2 VESTIDO RENDA 8,50,0,1,50
YL212,2 VESTIDO RENDA 8,50,0,1,50
