id;code;name;category_id;price;image;tax;cost;tax_method;quantity;barcode_symbology;type;details;alert_quantity
595;225113700140;RY140;8;50;;0;;1;53;ean13;standard;1 BLUSA ESTAMPA 8;20
596;295113700142;RY142;8;50;;0;;1;53;ean13;standard;1 BLUSA ESTAMPA 8;20
597;285123700143;RY143;7;50;;0;;1;50;ean13;standard;1 BLUSA ESTAMPA 7;20
598;260113700144;RY144;8;50;;0;;1;100;ean13;standard;1 BLUSA ESTAMPA 8;20
599;260113700145;RY145;7;50;;0;;1;63;ean13;standard;1 BLUSAM ESTAMPA 7;20
600;270113700146;RY146;7;50;;0;;1;55;ean13;standard;1 BLUSA LISA 7;20
601;255113700147;RY147;7;50;;0;;1;24;ean13;standard;1 BLUSA LISA 7;20
602;245113700148;RY148;7;45;;0;;1;24;ean13;standard;1 BLUSA MANGA LONGA 7;20
603;230113700149;RY149;7;45;;0;;1;43;ean13;standard;1 BLUSA LISA 7;20
604;265113700150;RY150;7;50;;0;;1;111;ean13;standard;1 BLUSA ESTAMPA 7;20
605;265123700151;RY151;7;50;;0;;1;76;ean13;standard;1 BLUSA ESTAMPA 7;20
606;280123700152;RY152;7;50;;0;;1;76;ean13;standard;1 BLUSA LISA 7;20
607;265013700153;RY153;8;55;;0;;1;76;ean13;standard;1 BLUSA LISA 8;20
608;260113700154;RY154;8;50;;0;;1;76;ean13;standard;1 BLUSA ESTAMPA 8;20
609;250113700155;RY155;8;50;;0;;1;76;ean13;standard;1 BLUSA MANGA LONGA 8;20
610;250113700156;RY156;8;50;;0;;1;76;ean13;standard;1 BLUSA MANGA LONGA 8;20
611;240113700157;RY157;8;45;;0;;1;76;ean13;standard;1 BLUSA MANGA LONGA 8;20
612;190113700158;RY158;8;45;;0;;1;62;ean13;standard;1 BLUSA ESTAMPA 8;20
613;270113700159;RY159;8;50;;0;;1;104;ean13;standard;1 BLUSA ESTAMPA 8;20
614;270123700161;RY161;8;50;;0;;1;136;ean13;standard;1 BLUSA ESTAMPA 8;20
615;290123700162;RY162;7;50;;0;;1;24;ean13;standard;1 BLUSA ESTAMPA 7;20
616;270113700163;RY163;8;50;;0;;1;24;ean13;standard;1 BLUSA MANGA LONGA 8;20
617;265123700164;RY164;8;50;;0;;1;24;ean13;standard;1 BLUSA ESTAMPA 8;20
618;260123700165;RY165;8;50;;0;;1;24;ean13;standard;1 BLUSA ESTAMPA 8;20
619;280123700166;RY166;7;50;;0;;1;24;ean13;standard;1 BLUSA LISA 7;20
620;280123700167;RY167;7;50;;0;;1;24;ean13;standard;1 BLUSA LISA 7;20
621;225043700029;RY29;8;30;;0;;1;8;ean13;standard;2 BLUSA ESTAMPADA 8;20
622;230053700030;RY30;8;30;;0;;1;1;ean13;standard;2 BLUSA ESTAMPA 8;20
623;200053700031;RY31;8;30;;0;;1;9;ean13;standard;2 BLUSA ESTAMPA 8;20
624;265093700098;RY98;8;50;;0;;1;1;ean13;standard;1 BLUSA ESTAMPA 8;20
625;220093700099;RY99;8;50;;0;;1;97;ean13;standard;1 BLUSA ESTAMPA 8;20
626;235117800001;SF01;8;45;;0;;1;23;ean13;standard;1 BLUSA 8;20
627;285117800002;SF02;7;50;;0;;1;44;ean13;standard;1 BLUSA 7;20
628;260117800003;SF03;7;50;;0;;1;47;ean13;standard;1 BLUSA LA M\G 7;20
629;290127800004;SF04;8;50;;0;;1;47;ean13;standard;1 BLUSA ESTAMPA 8;20
630;450117800005;SF05;8;85;;0;;1;47;ean13;standard;1 VESTIDO MANGA LONGA 8;20
631;230127800006;SF06;7;45;;0;;1;47;ean13;standard;1 BLUSA MANGA LONGA 7;20
632;310127800007;SF07;7;50;;0;;1;47;ean13;standard;1 BLUSA MANGA LONGA 7;20
633;270127800008;SF08;7;50;;0;;1;82;ean13;standard;1 BLUSA LISA 7;20
634;260127800009;SF09;7;50;;0;;1;93;ean13;standard;1 BLUSA LISA 7;20
635;490127800010;SF10;7;100;;0;;1;16;ean13;standard;1 VESTIDO ESTAMOA 7;20
636;190067800016;SF16;8;35;;0;;1;18;ean13;standard;2 BLUSA LISA ALCINHA DUPLA 8;20
637;176067800017;SF17;7;25;;0;;1;12;ean13;standard;2 BLUSA UM OMBRO SÓ BUFANTE 7;20
638;242067800020;SF20;8;40;;0;;1;12;ean13;standard;2 BLUSA ESTAMPADA MANGA CURTA BUFANTE 8;20
639;240077800024;SF24;8;30;;0;;1;28;ean13;standard;2 BLUSA CIGANINHA 8;20
640;160201917301;SL301;7;25;;0;;1;28;ean13;standard;1 BLUSA 7;20
641;140201919301;SM301;7;25;;0;;1;28;ean13;standard;1 BLUSA 7;20
642;200201919302;SM302;7;30;;0;;1;28;ean13;standard;1 BLUSA 7;20
643;150201919305;SM305;7;40;;0;;1;28;ean13;standard;1 BLUSA 7;20
644;150201919313;SM313;7;25;;0;;1;28;ean13;standard;1 BLUSA 7;20
645;150201919314;SM314;7;25;;0;;1;28;ean13;standard;1 BLUSA 7;20
646;100201919318;SM318;7;25;;0;;1;28;ean13;standard;1 BLUSA 7;20
647;120201919354;SM354;7;25;;0;;1;1;ean13;standard;1 BLUSA 7;20
648;120201919358;SM358;8;25;;0;;1;1;ean13;standard;1 MANGA LONGA GOLA ALTA 8;20
649;290107800001;SQ01;7;50;;0;;1;27;ean13;standard;1 BLUSA LISA 7;20
650;300107800002;SQ02;7;50;;0;;1;14;ean13;standard;1 MACAÇÃO 7;20
651;400118500001;SQ98;7;85;;0;;1;139;ean13;standard;1 MACACÃO 7;20
